tract_id,city,ml_rank_score,demand_tier,pct_area_ev_permitted,pct_area_commercial,pct_area_industrial,pct_area_residential,dominant_zone_category,feasibility_score,data_confidence,computed_at
36081077908,"FLUSHING, NY",0.01,Low,0.0,0.0,0.0,1.0,Residential,0.003,High,2026-03-09T22:01:46.310724+00:00
36081078800,"JAMAICA, NY",0.0077,Low,0.0,0.0,0.0,1.0,Residential,0.0023,High,2026-03-09T22:28:08.761223+00:00
36081079701,"FLUSHING, NY",0.0279,Low,0.0,0.0,0.0,0.9803,Residential,0.0084,High,2026-03-09T20:18:29.875043+00:00
36081081800,"JAMAICA, NY",0.0082,Low,0.0,0.0,0.0,0.9282,Residential,0.0025,High,2026-03-09T22:22:28.830408+00:00
36081084500,"FLUSHING, NY",0.0121,Low,0.0,0.0,0.0,1.0,Residential,0.0036,High,2026-03-09T21:46:38.529402+00:00
36081084901,"FLUSHING, NY",0.0103,Low,0.069,0.0081,0.0609,0.931,Residential,0.0514,High,2026-03-09T21:59:27.118792+00:00
36081084902,"FLUSHING, NY",0.017,Low,0.187,0.187,0.0,0.813,Residential,0.136,High,2026-03-09T21:09:53.843091+00:00
36081085300,"FLUSHING, NY",0.0176,Low,0.4794,0.4794,0.0,0.4932,Residential,0.3409,High,2026-03-09T21:05:18.812466+00:00
36081085500,"FLUSHING, NY",0.0305,Low,0.0,0.0,0.0,0.983,Residential,0.0092,High,2026-03-09T20:11:33.712014+00:00
36081085700,"FLUSHING, NY",0.0162,Low,0.0163,0.0163,0.0,0.9837,Residential,0.0163,High,2026-03-09T21:15:28.946440+00:00
36081085900,"FLUSHING, NY",0.0161,Low,0.0,0.0,0.0,1.0,Residential,0.0048,High,2026-03-09T21:16:20.569142+00:00
36081086100,"FLUSHING, NY",0.0088,Low,0.0,0.0,0.0,0.9957,Residential,0.0026,High,2026-03-09T22:14:58.984787+00:00
36081086300,"FLUSHING, NY",0.025,Low,0.0,0.0,0.0,1.0,Residential,0.0075,High,2026-03-09T20:28:30.299470+00:00
36081086500,"FLUSHING, NY",0.015,Low,0.1472,0.1472,0.0,0.6919,Residential,0.1076,High,2026-03-09T21:23:36.772526+00:00
36081092500,"FLUSHING, NY",0.0084,Low,0.1185,0.0247,0.0939,0.859,Residential,0.0855,High,2026-03-09T22:20:03.652781+00:00
36081093401,"FAR ROCKAWAY, NY",0.0187,Low,0.0,0.0,0.0,0.6802,Residential,0.0056,High,2026-03-09T20:57:53.448077+00:00
36081094700,"FLUSHING, NY",0.0077,Low,0.3601,0.0,0.3601,0.6386,Residential,0.2544,High,2026-03-09T22:28:20.549797+00:00
36081101003,"FAR ROCKAWAY, NY",0.0096,Low,0.1198,0.1198,0.0,0.6058,Residential,0.0867,High,2026-03-09T22:05:50.464007+00:00
36081103300,"FLUSHING, NY",0.007,Low,0.0,0.0,0.0,1.0,Residential,0.0021,High,2026-03-09T22:39:50.987327+00:00
36081112300,"FLUSHING, NY",0.0073,Low,0.0292,0.0292,0.0,0.9677,Residential,0.0226,High,2026-03-09T22:34:07.193617+00:00
36081114700,"FLUSHING, NY",0.0064,Low,0.0,0.0,0.0,1.0,Residential,0.0019,High,2026-03-09T22:47:44.427191+00:00
36081115100,"FLUSHING, NY",0.0078,Low,0.0,0.0,0.0,0.7762,Residential,0.0023,High,2026-03-09T22:26:03.698198+00:00
36081115500,"FLUSHING, NY",0.0096,Low,0.0,0.0,0.0,0.9848,Residential,0.0029,High,2026-03-09T22:06:04.587792+00:00
36081115700,"FLUSHING, NY",0.0097,Low,0.0,0.0,0.0,0.985,Residential,0.0029,High,2026-03-09T22:05:56.798387+00:00
36081115900,"FLUSHING, NY",0.0106,Low,0.0,0.0,0.0,1.0,Residential,0.0032,High,2026-03-09T21:57:22.249780+00:00
36081116100,"FLUSHING, NY",0.0129,Low,0.0361,0.0361,0.0,0.9639,Residential,0.0292,High,2026-03-09T21:40:44.875949+00:00
36081116301,"FLUSHING, NY",0.0167,Low,0.1823,0.1823,0.0,0.8177,Residential,0.1326,High,2026-03-09T21:12:00.701375+00:00
36081116302,"FLUSHING, NY",0.0161,Low,0.2025,0.2025,0.0,0.7975,Residential,0.1466,High,2026-03-09T21:16:14.114857+00:00
36081116700,"FLUSHING, NY",0.0104,Low,0.2182,0.2182,0.0,0.7818,Residential,0.1559,High,2026-03-09T21:58:08.585738+00:00
36081118100,"FLUSHING, NY",0.0077,Low,0.0,0.0,0.0,1.0,Residential,0.0023,High,2026-03-09T22:28:37.812393+00:00
36081118500,"FLUSHING, NY",0.0084,Low,0.0,0.0,0.0,0.9723,Residential,0.0025,High,2026-03-09T22:19:00.135259+00:00
36081118700,"FLUSHING, NY",0.0085,Low,0.0,0.0,0.0,1.0,Residential,0.0025,High,2026-03-09T22:18:52.825234+00:00
36081118900,"FLUSHING, NY",0.0076,Low,0.0,0.0,0.0,1.0,Residential,0.0023,High,2026-03-09T22:29:57.090293+00:00
36081119100,"FLUSHING, NY",0.009,Low,0.0,0.0,0.0,0.9581,Residential,0.0027,High,2026-03-09T22:14:20.000437+00:00
36081119300,"FLUSHING, NY",0.0074,Low,0.0,0.0,0.0,0.9962,Residential,0.0022,High,2026-03-09T22:32:44.515120+00:00
36081119500,"FLUSHING, NY",0.0067,Low,0.0,0.0,0.0,0.9075,Residential,0.002,High,2026-03-09T22:42:57.765176+00:00
36081119900,"FLUSHING, NY",0.0074,Low,0.0,0.0,0.0,1.0,Residential,0.0022,High,2026-03-09T22:32:49.574421+00:00
36081120100,"FLUSHING, NY",0.0074,Low,0.0,0.0,0.0,1.0,Residential,0.0022,High,2026-03-09T22:32:41.428563+00:00
36081120300,"FLUSHING, NY",0.0074,Low,0.0,0.0,0.0,1.0,Residential,0.0022,High,2026-03-09T22:31:52.097506+00:00
36081120500,"FLUSHING, NY",0.0086,Low,0.0,0.0,0.0,1.0,Residential,0.0026,High,2026-03-09T22:17:52.687627+00:00
36081120702,"FLUSHING, NY",0.0056,Low,0.0,0.0,0.0,1.0,Residential,0.0017,High,2026-03-09T22:58:39.965882+00:00
36081122703,"FLUSHING, NY",0.0094,Low,0.0,0.0,0.0,0.978,Residential,0.0028,High,2026-03-09T22:09:41.627059+00:00
36081122704,"FLUSHING, NY",0.0093,Low,0.0,0.0,0.0,1.0,Residential,0.0028,High,2026-03-09T22:10:38.434450+00:00
36081126500,"JAMAICA, NY",0.0076,Low,0.0,0.0,0.0,1.0,Residential,0.0023,High,2026-03-09T22:29:11.137638+00:00
36081133900,"FLUSHING, NY",0.0062,Low,0.0,0.0,0.0,1.0,Residential,0.0019,High,2026-03-09T22:50:20.878481+00:00
36081140901,"FLUSHING, NY",0.0062,Low,0.0,0.0,0.0,1.0,Residential,0.0019,High,2026-03-09T22:50:12.667088+00:00
36081145101,"FLUSHING, NY",0.0065,Low,0.0,0.0,0.0,1.0,Residential,0.0019,High,2026-03-09T22:45:53.157542+00:00
36081145900,"FLUSHING, NY",0.0071,Low,0.0,0.0,0.0,1.0,Residential,0.0021,High,2026-03-09T22:38:08.269535+00:00
36085000900,"STATEN ISLAND, NY",0.0138,Low,0.0,0.0,0.0,0.6681,Residential,0.0041,High,2026-03-09T21:34:19.946294+00:00
36085001100,"STATEN ISLAND, NY",0.0153,Low,0.0041,0.0041,0.0,0.4999,Residential,0.0075,High,2026-03-09T21:23:27.671346+00:00
36085001700,"STATEN ISLAND, NY",0.015,Low,0.0,0.0,0.0,0.7257,Residential,0.0045,High,2026-03-09T21:25:01.262308+00:00
36085002700,"STATEN ISLAND, NY",0.0149,Low,0.0752,0.0752,0.0,0.9248,Residential,0.0571,High,2026-03-09T21:25:02.429568+00:00
36085003600,"STATEN ISLAND, NY",0.0145,Low,0.0774,0.0433,0.0341,0.8944,Residential,0.0585,High,2026-03-09T21:30:23.098758+00:00
36085004001,"STATEN ISLAND, NY",0.0163,Low,0.1464,0.0201,0.1263,0.8536,Residential,0.1074,High,2026-03-09T21:16:10.757173+00:00
36085004003,"STATEN ISLAND, NY",0.0179,Low,0.0,0.0,0.0,0.9523,Residential,0.0054,High,2026-03-09T21:02:00.203104+00:00
36085007700,"STATEN ISLAND, NY",0.0133,Low,0.0037,0.0037,0.0,0.4016,Other,0.0066,High,2026-03-09T21:39:25.470042+00:00
36085009702,"STATEN ISLAND, NY",0.0128,Low,0.0,0.0,0.0,0.8052,Residential,0.0038,High,2026-03-09T21:41:23.155618+00:00
36085011401,"STATEN ISLAND, NY",0.0176,Low,0.0297,0.0297,0.0,0.8746,Residential,0.026,High,2026-03-09T21:06:35.509824+00:00
36085011402,"STATEN ISLAND, NY",0.0125,Low,0.013,0.013,0.0,0.987,Residential,0.0129,High,2026-03-09T21:46:02.944958+00:00
36085013301,"STATEN ISLAND, NY",0.016,Low,0.0,0.0,0.0,1.0,Residential,0.0048,High,2026-03-09T21:16:21.295458+00:00
36085017300,"STATEN ISLAND, NY",0.0134,Low,0.0111,0.0111,0.0,0.9693,Residential,0.0118,High,2026-03-09T21:38:25.669239+00:00
36085018701,"STATEN ISLAND, NY",0.0128,Low,0.0091,0.0091,0.0,0.9909,Residential,0.0102,High,2026-03-09T21:43:12.409003+00:00
36085031901,"STATEN ISLAND, NY",0.019,Low,0.1114,0.0815,0.0298,0.8886,Residential,0.0837,High,2026-03-09T20:54:57.154806+00:00
36093021001,"SCHENECTADY, NY",0.0002,Low,0.9535,0.0,0.0,0.0465,Mixed Use,0.6675,High,2026-03-10T02:13:55.922202+00:00
36119000204,"YONKERS, NY",0.0382,Low,0.2863,0.2863,0.0,0.7137,Residential,0.2118,High,2026-03-09T19:54:04.101120+00:00
36119000404,"YONKERS, NY",0.0406,Low,0.1399,0.1399,0.0,0.8601,Residential,0.1101,High,2026-03-09T19:48:59.859455+00:00
36119003100,"MOUNT VERNON, NY",0.0351,Low,0.3926,0.3926,0.0,0.6074,Residential,0.2854,High,2026-03-09T20:01:12.683933+00:00
36119008802,"WHITE PLAINS, NY",0.0143,Low,0.0,0.0,0.0,1.0,Residential,0.0043,High,2026-03-09T21:29:36.106277+00:00
37091980000,"WINTON, NC",0.0045,Low,0.0,0.0,0.0,0.0,Other,0.0013,Low,2026-03-09T23:24:55.769039+00:00
39035101101,"CLEVELAND, OH",0.0001,Low,0.1726,0.1726,0.0,0.8274,Residential,0.1209,High,2026-03-10T02:21:25.309754+00:00
39035101201,"CLEVELAND, OH",0.0001,Low,0.1836,0.1828,0.0008,0.4772,Residential,0.1286,High,2026-03-10T02:31:54.739866+00:00
39035101300,"CLEVELAND, OH",0.0002,Low,0.2376,0.2376,0.0,0.5601,Residential,0.1664,High,2026-03-10T02:17:04.510640+00:00
39035102101,"CLEVELAND, OH",0.0001,Low,0.1548,0.1548,0.0,0.8452,Residential,0.1083,High,2026-03-10T02:38:39.802164+00:00
39035102401,"CLEVELAND, OH",0.0001,Low,0.1494,0.0389,0.1105,0.6153,Residential,0.1046,High,2026-03-10T02:30:19.971861+00:00
39035119402,"CLEVELAND, OH",0.0001,Low,0.1261,0.1261,0.0,0.8739,Residential,0.0883,High,2026-03-10T02:40:12.607564+00:00
